"directory","file_name","variable_name","variable_type","description"
"data/","countrylevel.rda","iso3c","character",
"data/","countrylevel.rda","region_id","character",
"data/","countrylevel.rda","country_name","character",
"data/","countrylevel.rda","income_id","character",
"data/","countrylevel.rda","gdp","numeric",
"data/","countrylevel.rda","composition_food_organic_waste_percent","numeric",
"data/","countrylevel.rda","composition_glass_percent","numeric",
"data/","countrylevel.rda","composition_metal_percent","numeric",
"data/","countrylevel.rda","composition_other_percent","numeric",
"data/","countrylevel.rda","composition_paper_cardboard_percent","numeric",
"data/","countrylevel.rda","composition_plastic_percent","numeric",
"data/","countrylevel.rda","composition_rubber_leather_percent","numeric",
"data/","countrylevel.rda","composition_wood_percent","numeric",
"data/","countrylevel.rda","composition_yard_garden_green_waste_percent","numeric",
"data/","countrylevel.rda","other_information_information_system_for_solid_waste_management","character",
"data/","countrylevel.rda","other_information_national_agency_to_enforce_solid_waste_laws_and_regulations","character",
"data/","countrylevel.rda","other_information_national_law_governing_solid_waste_management_in_the_country","character",
"data/","countrylevel.rda","other_information_ppp_rules_and_regulations","character",
"data/","countrylevel.rda","other_information_summary_of_key_solid_waste_information_made_available_to_the_public","character",
"data/","countrylevel.rda","population_population_number_of_people","numeric",
"data/","countrylevel.rda","special_waste_agricultural_waste_tons_year","numeric",
"data/","countrylevel.rda","special_waste_construction_and_demolition_waste_tons_year","numeric",
"data/","countrylevel.rda","special_waste_e_waste_tons_year","numeric",
"data/","countrylevel.rda","special_waste_hazardous_waste_tons_year","numeric",
"data/","countrylevel.rda","special_waste_industrial_waste_tons_year","numeric",
"data/","countrylevel.rda","special_waste_medical_waste_tons_year","numeric",
"data/","countrylevel.rda","total_msw_total_msw_generated_tons_year","numeric",
"data/","countrylevel.rda","waste_collection_coverage_rural_percent_of_geographic_area","numeric",
"data/","countrylevel.rda","waste_collection_coverage_rural_percent_of_households","numeric",
"data/","countrylevel.rda","waste_collection_coverage_rural_percent_of_population","numeric",
"data/","countrylevel.rda","waste_collection_coverage_rural_percent_of_waste","numeric",
"data/","countrylevel.rda","waste_collection_coverage_total_percent_of_geographic_area","numeric",
"data/","countrylevel.rda","waste_collection_coverage_total_percent_of_households","numeric",
"data/","countrylevel.rda","waste_collection_coverage_total_percent_of_population","numeric",
"data/","countrylevel.rda","waste_collection_coverage_total_percent_of_waste","numeric",
"data/","countrylevel.rda","waste_collection_coverage_urban_percent_of_geographic_area","numeric",
"data/","countrylevel.rda","waste_collection_coverage_urban_percent_of_households","numeric",
"data/","countrylevel.rda","waste_collection_coverage_urban_percent_of_population","numeric",
"data/","countrylevel.rda","waste_collection_coverage_urban_percent_of_waste","numeric",
"data/","countrylevel.rda","waste_treatment_anaerobic_digestion_percent","numeric",
"data/","countrylevel.rda","waste_treatment_compost_percent","numeric",
"data/","countrylevel.rda","waste_treatment_controlled_landfill_percent","numeric",
"data/","countrylevel.rda","waste_treatment_incineration_percent","numeric",
"data/","countrylevel.rda","waste_treatment_landfill_unspecified_percent","numeric",
"data/","countrylevel.rda","waste_treatment_open_dump_percent","numeric",
"data/","countrylevel.rda","waste_treatment_other_percent","numeric",
"data/","countrylevel.rda","waste_treatment_recycling_percent","numeric",
"data/","countrylevel.rda","waste_treatment_sanitary_landfill_landfill_gas_system_percent","numeric",
"data/","countrylevel.rda","waste_treatment_unaccounted_for_percent","numeric",
"data/","countrylevel.rda","waste_treatment_waterways_marine_percent","numeric",
"data/","countrylevel.rda","where_where_is_this_data_measured","character",
